"","sample","module","status","tot.seq","seq.length","pct.gc","pct.dup"
"1","M7020000370735_1.fq.gz","Basic Statistics","PASS","11050725","150",48,13.91
"2","M7020000370735_1.fq.gz","Per base sequence quality","PASS","11050725","150",48,13.91
"3","M7020000370735_1.fq.gz","Per tile sequence quality","WARN","11050725","150",48,13.91
"4","M7020000370735_1.fq.gz","Per sequence quality scores","PASS","11050725","150",48,13.91
"5","M7020000370735_1.fq.gz","Per base sequence content","WARN","11050725","150",48,13.91
"6","M7020000370735_1.fq.gz","Per sequence GC content","PASS","11050725","150",48,13.91
"7","M7020000370735_1.fq.gz","Per base N content","PASS","11050725","150",48,13.91
"8","M7020000370735_1.fq.gz","Sequence Length Distribution","PASS","11050725","150",48,13.91
"9","M7020000370735_1.fq.gz","Sequence Duplication Levels","PASS","11050725","150",48,13.91
"10","M7020000370735_1.fq.gz","Overrepresented sequences","PASS","11050725","150",48,13.91
"11","M7020000370735_1.fq.gz","Adapter Content","PASS","11050725","150",48,13.91
"12","M7020000370735_1.fq.gz","Kmer Content","FAIL","11050725","150",48,13.91
"13","M7020000370735_2.fq.gz","Basic Statistics","PASS","11050725","150",48,13.03
"14","M7020000370735_2.fq.gz","Per base sequence quality","PASS","11050725","150",48,13.03
"15","M7020000370735_2.fq.gz","Per tile sequence quality","PASS","11050725","150",48,13.03
"16","M7020000370735_2.fq.gz","Per sequence quality scores","PASS","11050725","150",48,13.03
"17","M7020000370735_2.fq.gz","Per base sequence content","WARN","11050725","150",48,13.03
"18","M7020000370735_2.fq.gz","Per sequence GC content","PASS","11050725","150",48,13.03
"19","M7020000370735_2.fq.gz","Per base N content","PASS","11050725","150",48,13.03
"20","M7020000370735_2.fq.gz","Sequence Length Distribution","PASS","11050725","150",48,13.03
"21","M7020000370735_2.fq.gz","Sequence Duplication Levels","PASS","11050725","150",48,13.03
"22","M7020000370735_2.fq.gz","Overrepresented sequences","PASS","11050725","150",48,13.03
"23","M7020000370735_2.fq.gz","Adapter Content","PASS","11050725","150",48,13.03
"24","M7020000370735_2.fq.gz","Kmer Content","FAIL","11050725","150",48,13.03
"25","M7020000396310_1.fq.gz","Basic Statistics","PASS","18156791","150",48,27.51
"26","M7020000396310_1.fq.gz","Per base sequence quality","PASS","18156791","150",48,27.51
"27","M7020000396310_1.fq.gz","Per tile sequence quality","PASS","18156791","150",48,27.51
"28","M7020000396310_1.fq.gz","Per sequence quality scores","PASS","18156791","150",48,27.51
"29","M7020000396310_1.fq.gz","Per base sequence content","WARN","18156791","150",48,27.51
"30","M7020000396310_1.fq.gz","Per sequence GC content","PASS","18156791","150",48,27.51
"31","M7020000396310_1.fq.gz","Per base N content","PASS","18156791","150",48,27.51
"32","M7020000396310_1.fq.gz","Sequence Length Distribution","PASS","18156791","150",48,27.51
"33","M7020000396310_1.fq.gz","Sequence Duplication Levels","PASS","18156791","150",48,27.51
"34","M7020000396310_1.fq.gz","Overrepresented sequences","PASS","18156791","150",48,27.51
"35","M7020000396310_1.fq.gz","Adapter Content","PASS","18156791","150",48,27.51
"36","M7020000396310_1.fq.gz","Kmer Content","PASS","18156791","150",48,27.51
"37","M7020000396310_2.fq.gz","Basic Statistics","PASS","18156791","150",48,25.83
"38","M7020000396310_2.fq.gz","Per base sequence quality","PASS","18156791","150",48,25.83
"39","M7020000396310_2.fq.gz","Per tile sequence quality","WARN","18156791","150",48,25.83
"40","M7020000396310_2.fq.gz","Per sequence quality scores","PASS","18156791","150",48,25.83
"41","M7020000396310_2.fq.gz","Per base sequence content","WARN","18156791","150",48,25.83
"42","M7020000396310_2.fq.gz","Per sequence GC content","PASS","18156791","150",48,25.83
"43","M7020000396310_2.fq.gz","Per base N content","PASS","18156791","150",48,25.83
