ID	M7020000370735	M7020000396310	M7020000398638	M7020000402033	M7020000424934	M7020000427533	M7020000429832	M7020000469121	M7020000483425	M7020000504220	M7020000511010	M7020000532520	M7020000552326	M7020000554920	M7020000560613	M7020000565324	M7020000569619	M7020000576014	M7020000582521	M7020000593113	M7020000594021	M7020000597533	M7020000602230	M7020000609410	M7020000609939	M7020000615112	M7020000618230	M7020000618722	M7020000624229	M7020000627525	M7020000631027	M7020000634619	M7020000635115	M7020000636613	M7020000637639	M7020000637719	M7020000650318	M7020000650425	M7020000655314	M7020000658826	M7020000660010	M7020000688816	M7020000689715	M7020000692612	M7020000701829	M7020000702011	M7020000702414	M7020000707724	M7020000717918	M7020000719019	M7020000720332	M7020000721213	M7020000724028	M7020000742714	M7020000751437	M7020000765316	M7020000765530	M7020000767731	M7020000774217	M7020000777139	M7020000777317	M7020000790239	M7020000791817	M7020000807720	M7020000811123	M7020000811339	M7020000811535	M7020000811910	M7020000813727	M7020000815131	M7020000815211	M7020000815820	M7020000817922	M7020000819927	M7020000827830	M7020000828917	M7020000833434	M7020000842120	M7020000842139	M7020000846432	M7020000854013	M7020000859717	M7020000861420	M7020000861724	M7020000862534	M7020000862632	M7020000863738	M7020000866417	M7020000866927	M7020000868930	M7020000871032	M7020000874731	M7020000876431	M7020000878623	M7020000882420	M7020000886910	M7020000900134	M7020001028515	M7020001030139	M7020001030317	M7020001031118	M7020001031136	M7020001036428	M7020001048830	M7020001056538	M7020001059923	M7020001062419	M7020001069527	M7020001077233	M7020001087623	M7020001088611	M7020001090736	M7020001093925	M7020001095920	M7020001095939	M7020001098322	M7020001099230	M7020001103128	M7020001103530	M7020001105937	M7020001106120	M7020001106139	M7020001106433	M7020001111925	M7020001112717	M7020001112931	M7020001113026	M7020001114014	M7020001114829	M7020001115030	M7020001115334	M7020001116529	M7020001116814	M7020001116930	M7020001117811	M7020001118917	M7020001120129	M7020001121135	M7020001121313	M7020001121627	M7020001122910	M7020001123022	M7020001123739	M7020001124530	M7020001125410	M7020001126820	M7020001128136	M7020001129821	M7020001130027	M7020001132415	M7020001132424	M7020001132738	M7020001133717	M7020001133726	M7020001133931	M7020001135720	M7020001136530	M7020001137510	M7020001137618	M7020001141316	M7020001144238	M7020001146027	M7020001146036	M7020001146439	M7020001147131	M7020001148710	M7020001149520	M7020001154118	M7020001154922	M7020001155124	M7020001161613	M7020001161720	M7020001161936	M7020001163215	M7020001166914	M7020001167519	M7020001167626	M7020001168810	M7020001171816	M7020001175539	M7020001176017	M7020001181438	M7020001181732	M7020001183826	M7020001184233	M7020001187413	M7020001187638	M7020001188911	M7020001190132	M7020001190722	M7020001192226	M7020001192511	M7020001280338	M7020001285924	M7020001287633	M7020001292428	M7020001328431	M7020001338017	M7020001344210
k__Archaea	0.0	0.0	0.0	0.0	0.0	0.01986	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05061	0.02693	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02219	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03759	0.0	0.0	0.0	0.0	0.0	0.0	0.00666	0.0	0.0	0.0	0.0	0.01683	0.00263	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02442	0.0	0.0	0.0	0.0	0.0	0.06276	0.0	0.0	0.0	0.0	0.0149	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01164	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0125	0.0	0.0	0.0	0.0	0.0	0.00646	0.0	0.0	0.00335	0.0	0.0	0.0	0.00994	0.0	0.0	0.04789	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01109	0.0	0.0	0.0	0.0	0.0	0.008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01718	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea|p__Euryarchaeota	0.0	0.0	0.0	0.0	0.0	0.01986	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05061	0.02693	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02219	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03759	0.0	0.0	0.0	0.0	0.0	0.0	0.00666	0.0	0.0	0.0	0.0	0.01683	0.00263	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02442	0.0	0.0	0.0	0.0	0.0	0.06276	0.0	0.0	0.0	0.0	0.0149	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01164	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0125	0.0	0.0	0.0	0.0	0.0	0.00646	0.0	0.0	0.00335	0.0	0.0	0.0	0.00994	0.0	0.0	0.04789	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01109	0.0	0.0	0.0	0.0	0.0	0.008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01718	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea|p__Euryarchaeota|c__Methanobacteria	0.0	0.0	0.0	0.0	0.0	0.01986	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05061	0.02693	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02219	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03759	0.0	0.0	0.0	0.0	0.0	0.0	0.00666	0.0	0.0	0.0	0.0	0.01683	0.00263	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02442	0.0	0.0	0.0	0.0	0.0	0.06276	0.0	0.0	0.0	0.0	0.0149	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01164	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0125	0.0	0.0	0.0	0.0	0.0	0.00646	0.0	0.0	0.00335	0.0	0.0	0.0	0.00994	0.0	0.0	0.04789	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01109	0.0	0.0	0.0	0.0	0.0	0.008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01718	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	0.0	0.0	0.0	0.0	0.0	0.01986	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05061	0.02693	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02219	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03759	0.0	0.0	0.0	0.0	0.0	0.0	0.00666	0.0	0.0	0.0	0.0	0.01683	0.00263	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02442	0.0	0.0	0.0	0.0	0.0	0.06276	0.0	0.0	0.0	0.0	0.0149	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01164	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0125	0.0	0.0	0.0	0.0	0.0	0.00646	0.0	0.0	0.00335	0.0	0.0	0.0	0.00994	0.0	0.0	0.04789	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01109	0.0	0.0	0.0	0.0	0.0	0.008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01718	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae	0.0	0.0	0.0	0.0	0.0	0.01986	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05061	0.02693	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02219	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03759	0.0	0.0	0.0	0.0	0.0	0.0	0.00666	0.0	0.0	0.0	0.0	0.01683	0.00263	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02442	0.0	0.0	0.0	0.0	0.0	0.06276	0.0	0.0	0.0	0.0	0.0149	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01164	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0125	0.0	0.0	0.0	0.0	0.0	0.00646	0.0	0.0	0.00335	0.0	0.0	0.0	0.00994	0.0	0.0	0.04789	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01109	0.0	0.0	0.0	0.0	0.0	0.008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01718	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter	0.0	0.0	0.0	0.0	0.0	0.01986	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05061	0.02693	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02219	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03759	0.0	0.0	0.0	0.0	0.0	0.0	0.00666	0.0	0.0	0.0	0.0	0.01683	0.00263	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02442	0.0	0.0	0.0	0.0	0.0	0.06276	0.0	0.0	0.0	0.0	0.0149	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01164	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0125	0.0	0.0	0.0	0.0	0.0	0.00646	0.0	0.0	0.00335	0.0	0.0	0.0	0.00994	0.0	0.0	0.04789	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01109	0.0	0.0	0.0	0.0	0.0	0.008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01718	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_smithii	0.0	0.0	0.0	0.0	0.0	0.01986	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05061	0.00279	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00224	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01924	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00915	0.00263	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06276	0.0	0.0	0.0	0.0	0.0149	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00174	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00335	0.0	0.0	0.0	0.0	0.0	0.0	0.00376	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01348	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_smithii|t__Methanobrevibacter_smithii_unclassified	0.0	0.0	0.0	0.0	0.0	0.01986	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05061	0.00279	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00224	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01924	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00915	0.00263	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06276	0.0	0.0	0.0	0.0	0.0149	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00174	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00335	0.0	0.0	0.0	0.0	0.0	0.0	0.00376	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01348	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_unclassified	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02413	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01995	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01835	0.0	0.0	0.0	0.0	0.0	0.0	0.00666	0.0	0.0	0.0	0.0	0.00768	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02442	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00989	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00646	0.0	0.0	0.0	0.0	0.0	0.0	0.00994	0.0	0.0	0.04412	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01109	0.0	0.0	0.0	0.0	0.0	0.008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0037	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria	98.86503	99.85266	100.0	100.0	99.98519	99.98014	99.20636	99.5484	100.0	99.75219	98.73868	100.0	99.95367	99.94939	93.63447	100.0	99.94318	100.0	96.6811	100.0	100.0	100.0	100.0	96.46553	100.0	99.96314	91.7817	99.97403	100.0	100.0	100.0	99.97781	100.0	100.0	100.0	100.0	99.2003	99.53826	96.4988	100.0	99.96241	100.0	99.96262	99.40641	99.9051	99.28953	99.93917	99.98863	100.0	100.0	100.0	100.0	88.79199	99.6509	100.0	100.0	100.0	100.0	96.12572	100.0	100.0	99.55914	100.0	100.0	100.0	99.77398	99.96914	100.0	100.0	99.49761	100.0	100.0	100.0	100.0	100.0	100.0	99.95175	100.0	100.0	100.0	100.0	99.93795	99.97558	100.0	99.92252	100.0	100.0	99.99631	99.93724	99.98554	100.0	98.68808	100.0	99.75578	97.14445	100.0	99.61862	100.0	99.62622	100.0	99.99659	100.0	96.01327	99.46191	100.0	100.0	99.9731	99.98797	100.0	99.98111	99.5788	100.0	100.0	99.98143	99.89949	98.88302	100.0	100.0	100.0	100.0	100.0	99.98602	94.7249	99.94687	100.0	100.0	100.0	100.0	99.98866	100.0	100.0	99.97814	99.81129	100.0	100.0	99.99006	100.0	100.0	99.95211	100.0	84.01932	99.93437	100.0	99.98764	100.0	100.0	100.0	100.0	100.0	85.03829	100.0	100.0	99.98891	99.61777	100.0	100.0	100.0	95.84902	99.94474	100.0	100.0	100.0	100.0	96.04741	100.0	100.0	100.0	100.0	99.21418	100.0	100.0	100.0	99.92134	99.85624	100.0	100.0	100.0	100.0	94.59105	100.0	92.97773	100.0	93.91978	98.32922	100.0	99.6335	99.99607	88.57227	93.23414	100.0	99.49129	99.99956	100.0	99.42436	100.0	100.0	99.99368	96.87972	100.0
